v_start: 21; angle: 45; h_start: 0; g: 9.81; Z: 44.9541; Hmax: 11.2385; th: 1.51368; 
v_start: 21; angle: 45; h_start: 0; g: 9.81; Z: 44.9541; Hmax: 11.2385; th: 1.51368; 
v_start: 21; angle: 45; h_start: 0; g: 9.81; Z: 44.9541; Hmax: 11.2385; th: 1.51368; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 2; g: 9.81; Z: 8.12905; Hmax: 3.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 2; g: 9.81; Z: 8.12905; Hmax: 3.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 2; g: 9.81; Z: 8.12905; Hmax: 3.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 20; g: 9.81; Z: 15.1414; Hmax: 21.631; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 8; angle: 45; h_start: 0; g: 9.81; Z: 6.52395; Hmax: 1.63099; th: 0.576642; 
v_start: 20; angle: 45; h_start: 0; g: 9.81; Z: 40.7747; Hmax: 10.1937; th: 1.4416; 
v_start: 20; angle: 45; h_start: 0; g: 9.81; Z: 40.7747; Hmax: 10.1937; th: 1.4416; 
